"Products","Products"
"Customers","Customers"
"Orders","Orders"
"Choose an attribute","Choose an attribute"
"All Statuses","All Statuses"
"All Shipping Methods","All Shipping Methods"
"All Currencies","All Currencies"
"XML","XML"
"Order #:","Order #:"
"(Starting with)","(Starting with)"
"(Contains)","(Contains)"
"Real Order #:","Real Order #:"
"Coupon Code:","Coupon Code:"
"Status:","Status:"
"Shipping Method:","Shipping Method:"
"Customer Group:","Customer Group:"
"Customer Email:","Customer Email:"
"Customer Firstname:","Customer Firstname:"
"Customer Lastname:","Customer Lastname:"
"Created from:","Created from:"
"Date selector","Date selector"
"to","to"
"Updated from:","Updated from:"
"Weight:","Weight:"
"Items Count:","Items Count:"
"Currency:","Currency:"
"Shipping Price:","Shipping Price:"
"Tax:","Tax:"
"Subtotal:","Subtotal:"
"Grand Total:","Grand Total:"
"Discount:","Discount:"
"Subtotal Including Tax:","Subtotal Including Tax:"
"Total Due:","Total Due:"
"Shipping Email:","Shipping Email:"
"Shipping First Name:","Shipping First Name:"
"Shipping Last Name:","Shipping Last Name:"
"Shipping Company:","Shipping Company:"
"Shipping City:","Shipping City:"
"Shipping Country:","Shipping Country:"
"Shipping State/Province:","Shipping State/Province:"
"Shipping Zip/Postal Code:","Shipping Zip/Postal Code:"
"Shipping Telephone:","Shipping Telephone:"
"Billing Email:","Billing Email:"
"Billing First Name:","Billing First Name:"
"Billing Last Name:","Billing Last Name:"
"Billing Company:","Billing Company:"
"Billing City:","Billing City:"
"Billing Country:","Billing Country:"
"Billing State/Province:","Billing State/Province:"
"Billing Zip/Postal Code:","Billing Zip/Postal Code:"
"Billing Telephone:","Billing Telephone:"
"Item SKU:","Item SKU:"
"Item Name:","Item Name:"
"Item Qty:","Item Qty:"
"Item Weight:","Item Weight:"
"Item Total Weight:","Item Total Weight:"
"Item Price:","Item Price:"
"Item Tax:","Item Tax:"
"Item Discount:","Item Discount:"
"Item Total Price:","Item Total Price:"
"Item Price Including Tax:","Item Price Including Tax:"
"Item Total Price Including Tax:","Item Total Price Including Tax:"
"Expecting a valid URL parameter.","Expecting a valid URL parameter."
"Wrong responce code received.","Wrong responce code received."
"Loaded successfully: ""%s"".","Loaded successfully: ""%s""."
"Could not load URL: ""%s"".","Could not load URL: ""%s""."
"Unable to load.","Unable to load."
"Unable to save.","Unable to save."
"Unable to load DOM extension: ""%s"".","Unable to load DOM extension: ""%s""."
"Unable to load XSL extension: ""%s"".","Unable to load XSL extension: ""%s""."
"Unable to import XSLT style sheet: ""%s"".","Unable to import XSLT style sheet: ""%s""."
"Unable to transform XML file: ""%s"".","Unable to transform XML file: ""%s""."
"Please declare ""adapter"" and ""method"" nodes first.","Please declare ""adapter"" and ""method"" nodes first."
"Declared adapter %s was not found.","Declared adapter %s was not found."
"Method ""%s"" not defined in adapter %s.","Method ""%s"" not defined in adapter %s."
"Found %d rows.","Found %d rows."
"Starting %s :: %s","Starting %s :: %s"
"Invalid entity specified","Invalid entity specified"
"Loaded %d records","Loaded %d records"
"Problem loading the collection, aborting. Error: %s","Problem loading the collection, aborting. Error: %s"
"Skip import row, required field "%s" for the new order is not defined.","Skip import row, required field "%s" for the new order is not defined."
"Skip import row, field "%s" is not valid.","Skip import row, field "%s" is not valid."
"Skipping import row, store not found.","Skipping import row, store not found."
"Skipping import row, required field "%s" is not defined.","Skipping import row, required field "%s" is not defined."
"Skipping import row, product not found.","Skipping import row, product not found."
"Line %d, ID: %s","Line %d, ID: %s"
"Skipping import row, invalid bundle child product.","Skipping import row, invalid bundle child product."
"Skipping import row, bundle option not found.","Skipping import row, bundle option not found."
"Skipping import row, invalid configurable child product.","Skipping import row, invalid configurable child product."
"Skipping import row, configurable product options not found.","Skipping import row, configurable product options not found."
